"","ENSEMBL","SYMBOL","Length"
"125","ENSG00000006118","TMEM132A",7271
"126","ENSG00000006125","AP2B1",7587
"128","ENSG00000006194","ZNF263",6945
"130","ENSG00000006282","SPATA20",5337
"132","ENSG00000006327","TNFRSF12A",1848
"134","ENSG00000006432","MAP3K9",12386
"135","ENSG00000006451","RALA",3665
"136","ENSG00000006453","BAIAP2L1",4798
"137","ENSG00000006459","KDM7A",9430
"138","ENSG00000006468","ETV1",9616
"139","ENSG00000006530","AGK",6547
"140","ENSG00000006534","ALDH3B1",6626
"141","ENSG00000006555","TTC22",6055
"142","ENSG00000006576","PHTF2",8646
"144","ENSG00000006607","FARP2",14413
"146","ENSG00000006625","GGCT",1597
"147","ENSG00000006634","DBF4",4583
"148","ENSG00000006638","TBXA2R",2793
"149","ENSG00000006652","IFRD1",7489
"151","ENSG00000006695","COX10",3172
"152","ENSG00000006704","GTF2IRD1",6498
"153","ENSG00000006712","PAF1",2668
"154","ENSG00000006715","VPS41",7801
"155","ENSG00000006740","ARHGAP44",9281
"156","ENSG00000006744","ELAC2",6345
"157","ENSG00000006747","SCIN",11623
"158","ENSG00000006756","ARSD",7030
"159","ENSG00000006757","PNPLA4",3441
"161","ENSG00000006831","ADIPOR2",5878
"162","ENSG00000006837","CDKL3",3057
"164","ENSG00000007038","PRSS21",1967
"165","ENSG00000007047","MARK4",6668
"166","ENSG00000007062","PROM1",7434
"167","ENSG00000007080","CCDC124",1660
"168","ENSG00000007129","CEACAM21",1964
"169","ENSG00000007168","PAFAH1B1",8127
"170","ENSG00000007171","NOS2",4176
"171","ENSG00000007174","DNAH9",16980
"172","ENSG00000007202","KIAA0100",9235
"174","ENSG00000007237","GAS7",10100
"175","ENSG00000007255","TRAPPC6A",933
"176","ENSG00000007264","MATK",4141
"178","ENSG00000007312","CD79B",2080
"179","ENSG00000007314","SCN4A",8247
"180","ENSG00000007341","ST7L",8111
"181","ENSG00000007350","TKTL1",3650
"182","ENSG00000007372","PAX6",14782
"183","ENSG00000007376","RPUSD1",2769
"184","ENSG00000007384","RHBDF1",4914
"185","ENSG00000007392","LUC7L",6176
"186","ENSG00000007402","CACNA2D2",6322
"187","ENSG00000007516","BAIAP3",6146
"188","ENSG00000007520","TSR3",1243
"189","ENSG00000007541","PIGQ",6869
"190","ENSG00000007545","CRAMP1",8373
"191","ENSG00000007866","TEAD3",3046
"192","ENSG00000007908","SELE",4585
"193","ENSG00000007923","DNAJC11",5083
"195","ENSG00000007944","MYLIP",3033
"196","ENSG00000007952","NOX1",2529
"197","ENSG00000007968","E2F2",5457
"198","ENSG00000008018","PSMB1",2256
"199","ENSG00000008056","SYN1",3209
"200","ENSG00000008083","JARID2",6015
"201","ENSG00000008086","CDKL5",15642
"203","ENSG00000008128","CDK11A",4701
"204","ENSG00000008130","NADK",5570
"207","ENSG00000008226","DLEC1",8338
"208","ENSG00000008256","CYTH3",5808
"209","ENSG00000008277","ADAM22",12199
"210","ENSG00000008282","SYPL1",2794
"211","ENSG00000008283","CYB561",5320
"212","ENSG00000008294","SPAG9",11963
"213","ENSG00000008300","CELSR3",13873
"214","ENSG00000008311","AASS",4591
"215","ENSG00000008323","PLEKHG6",4260
"216","ENSG00000008324","SS18L2",1301
"217","ENSG00000008382","MPND",2049
"218","ENSG00000008394","MGST1",7440
"219","ENSG00000008405","CRY1",5062
"220","ENSG00000008438","PGLYRP1",720
"221","ENSG00000008441","NFIX",6302
"222","ENSG00000008513","ST3GAL1",8729
"223","ENSG00000008516","MMP25",4126
"224","ENSG00000008517","IL32",3209
"225","ENSG00000008710","PKD1",18532
"226","ENSG00000008735","MAPK8IP2",5901
"227","ENSG00000008838","MED24",6962
"228","ENSG00000008853","RHOBTB2",6580
"229","ENSG00000008869","HEATR5B",8206
"230","ENSG00000008952","SEC62",7928
"231","ENSG00000008988","RPS20",3002
"232","ENSG00000009307","CSDE1",5778
"233","ENSG00000009335","UBE3C",9220
"234","ENSG00000009413","REV3L",12425
"235","ENSG00000009694","TENM1",12896
"237","ENSG00000009724","MASP2",4251
"239","ENSG00000009780","FAM76A",4034
"240","ENSG00000009790","TRAF3IP3",7750
"241","ENSG00000009830","POMT2",10008
"242","ENSG00000009844","VTA1",7262
"243","ENSG00000009950","MLXIPL",4815
"244","ENSG00000009954","BAZ1B",7053
"245","ENSG00000010017","RANBP9",3347
"246","ENSG00000010030","ETV7",2374
"247","ENSG00000010072","SPRTN",5906
"248","ENSG00000010165","METTL13",3827
"249","ENSG00000010219","DYRK4",7054
"250","ENSG00000010244","ZNF207",15834
"251","ENSG00000010256","UQCRC1",3236
"252","ENSG00000010270","STARD3NL",4348
"253","ENSG00000010278","CD9",3299
"255","ENSG00000010292","NCAPD2",6487
"256","ENSG00000010295","IFFO1",5203
"257","ENSG00000010310","GIPR",4736
"258","ENSG00000010318","PHF7",3463
"259","ENSG00000010319","SEMA3G",5011
"260","ENSG00000010322","NISCH",9161
"261","ENSG00000010327","STAB1",10588
"262","ENSG00000010361","FUZ",2950
"263","ENSG00000010379","SLC6A13",4243
"264","ENSG00000010404","IDS",9292
"265","ENSG00000010438","PRSS3",1664
"266","ENSG00000010539","ZNF200",7498
"267","ENSG00000010610","CD4",4583
"268","ENSG00000010626","LRRC23",3054
"269","ENSG00000010671","BTK",4575
"270","ENSG00000010704","HFE",5675
"271","ENSG00000010803","SCMH1",4447
"272","ENSG00000010810","FYN",7411
"273","ENSG00000010818","HIVEP2",9774
"275","ENSG00000011007","ELOA",5391
"276","ENSG00000011009","LYPLA2",2196
"277","ENSG00000011021","CLCN6",6938
"278","ENSG00000011028","MRC2",6860
"281","ENSG00000011105","TSPAN9",5714
"282","ENSG00000011114","BTBD7",11333
"283","ENSG00000011132","APBA3",5556
"284","ENSG00000011143","MKS1",4078
"285","ENSG00000011198","ABHD5",3172
"286","ENSG00000011201","ANOS1",7132
"287","ENSG00000011243","AKAP8L",5081
"288","ENSG00000011258","MBTD1",7201
"289","ENSG00000011260","UTP18",2721
"290","ENSG00000011275","RNF216",7619
"291","ENSG00000011295","TTC19",5966
"292","ENSG00000011304","PTBP1",6883
"293","ENSG00000011332","DPF1",4800
"295","ENSG00000011376","LARS2",5393
"296","ENSG00000011405","PIK3C2A",9204
"297","ENSG00000011422","PLAUR",4457
"298","ENSG00000011426","ANLN",6012
"299","ENSG00000011451","WIZ",7965
"300","ENSG00000011454","RABGAP1",9162
"302","ENSG00000011478","QPCTL",2396
"303","ENSG00000011485","PPP5C",7059
"304","ENSG00000011523","CEP68",8623
"305","ENSG00000011566","MAP4K3",6067
"306","ENSG00000011590","ZBTB32",2770
"307","ENSG00000011600","TYROBP",907
"308","ENSG00000011638","LDAF1",2558
"310","ENSG00000012048","BRCA1",8802
"311","ENSG00000012061","ERCC1",5576
"312","ENSG00000012124","CD22",6159
"313","ENSG00000012171","SEMA3B",5768
"314","ENSG00000012174","MBTPS2",8927
"315","ENSG00000012211","PRICKLE3",3194
"316","ENSG00000012223","LTF",4247
"317","ENSG00000012232","EXTL3",13220
"319","ENSG00000012660","ELOVL5",3813
"320","ENSG00000012779","ALOX5",3730
"322","ENSG00000012822","CALCOCO1",8898
"323","ENSG00000012963","UBR7",3694
"324","ENSG00000012983","MAP4K5",7620
"325","ENSG00000013016","EHD3",4636
"326","ENSG00000013275","PSMC4",2387
"327","ENSG00000013288","MAN2B2",8898
"329","ENSG00000013297","CLDN11",6032
"330","ENSG00000013306","SLC25A39",3526
"331","ENSG00000013364","MVP",6141
"332","ENSG00000013374","NUB1",5411
"333","ENSG00000013375","PGM3",7335
"334","ENSG00000013392","RWDD2A",3744
"335","ENSG00000013441","CLK1",5170
"336","ENSG00000013503","POLR3B",4858
"337","ENSG00000013523","ANGEL1",6414
"338","ENSG00000013561","RNF14",4987
"339","ENSG00000013563","DNASE1L1",4130
"340","ENSG00000013573","DDX11",8374
"341","ENSG00000013583","HEBP1",3442
"343","ENSG00000013619","MAMLD1",5958
"344","ENSG00000013725","CD6",5958
"345","ENSG00000013810","TACC3",6528
"346","ENSG00000014123","UFL1",4539
"347","ENSG00000014138","POLA2",5726
"348","ENSG00000014164","ZC3H3",3731
"349","ENSG00000014216","CAPN1",7553
"350","ENSG00000014257","ACP3",4193
"351","ENSG00000014641","MDH1",4990
"352","ENSG00000014824","SLC30A9",7225
"353","ENSG00000014914","MTMR11",4591
"354","ENSG00000014919","COX15",4177
"355","ENSG00000015133","CCDC88C",12426
"356","ENSG00000015153","YAF2",10839
"357","ENSG00000015171","ZMYND11",5300
"358","ENSG00000015285","WAS",2381
"360","ENSG00000015475","BID",4446
"361","ENSG00000015479","MATR3",11772
"362","ENSG00000015520","NPC1L1",5252
"363","ENSG00000015532","XYLT2",5472
"364","ENSG00000015568","RGPD5",14175
"366","ENSG00000015676","NUDCD3",10113
"368","ENSG00000016391","CHDH",7758
"372","ENSG00000016864","GLT8D1",3916
"373","ENSG00000017260","ATP2C1",8533
"375","ENSG00000017483","SLC38A5",4014
"376","ENSG00000017797","RALBP1",4979
"377","ENSG00000018189","RUFY3",8070
"379","ENSG00000018280","SLC11A1",8676
"380","ENSG00000018408","WWTR1",8413
"381","ENSG00000018510","AGPS",8197
"383","ENSG00000018610","STEEP1",2580
"385","ENSG00000018699","TTC27",3185
"386","ENSG00000018869","ZNF582",3350
"387","ENSG00000019102","VSIG2",1432
"388","ENSG00000019144","PHLDB1",21722
"389","ENSG00000019169","MARCO",2079
"391","ENSG00000019485","PRDM11",13954
"394","ENSG00000019582","CD74",3184
"395","ENSG00000019991","HGF",8897
"396","ENSG00000019995","ZRANB1",5993
"397","ENSG00000020129","NCDN",4917
"398","ENSG00000020181","ADGRA2",7061
"400","ENSG00000020256","ZFP64",6997
"401","ENSG00000020426","MNAT1",3865
"402","ENSG00000020577","SAMD4A",12170
"403","ENSG00000020633","RUNX3",4523
"404","ENSG00000020922","MRE11",7689
"405","ENSG00000021300","PLEKHB1",4933
"406","ENSG00000021355","SERPINB1",3094
"408","ENSG00000021488","SLC7A9",2597
"409","ENSG00000021574","SPAST",5213
"411","ENSG00000021762","OSBPL5",7466
"412","ENSG00000021776","AQR",13528
"413","ENSG00000021826","CPS1",10444
"415","ENSG00000022267","FHL1",5997
"416","ENSG00000022277","RTF2",4063
"419","ENSG00000022567","SLC45A4",8608
"420","ENSG00000022840","RNF10",5911
"421","ENSG00000022976","ZNF839",5590
"422","ENSG00000023041","ZDHHC6",3748
"423","ENSG00000023171","GRAMD1B",12517
"424","ENSG00000023191","RNH1",7374
"425","ENSG00000023228","NDUFS1",12268
"426","ENSG00000023287","RB1CC1",7615
"427","ENSG00000023318","ERP44",4854
"428","ENSG00000023330","ALAS1",2536
"429","ENSG00000023445","BIRC3",7518
"430","ENSG00000023516","AKAP11",9920
"431","ENSG00000023572","GLRX2",1299
"432","ENSG00000023608","SNAPC1",2656
"433","ENSG00000023697","DERA",2844
"434","ENSG00000023734","STRAP",2211
"435","ENSG00000023839","ABCC2",6232
"436","ENSG00000023892","DEF6",2545
"437","ENSG00000023902","PLEKHO1",6565
"438","ENSG00000023909","GCLM",5420
"439","ENSG00000024048","UBR2",8840
"440","ENSG00000024422","EHD2",3923
"441","ENSG00000024526","DEPDC1",5904
"442","ENSG00000024862","CCDC28A",1507
"443","ENSG00000025039","RRAGD",5072
"444","ENSG00000025156","HSF2",2702
"445","ENSG00000025293","PHF20",8384
"446","ENSG00000025423","HSD17B6",2272
"447","ENSG00000025434","NR1H3",4533
"448","ENSG00000025708","TYMP",3349
"449","ENSG00000025770","NCAPH2",3159
"450","ENSG00000025772","TOMM34",2062
"451","ENSG00000025796","SEC63",8587
"452","ENSG00000025800","KPNA6",7480
"453","ENSG00000026025","VIM",4965
"454","ENSG00000026036","RTEL1-TNFRSF6B",8752
"455","ENSG00000026103","FAS",3688
"456","ENSG00000026297","RNASET2",7643
"457","ENSG00000026508","CD44",10057
"458","ENSG00000026559","KCNG1",5437
"459","ENSG00000026652","AGPAT4",8769
"460","ENSG00000026751","SLAMF7",4833
"461","ENSG00000026950","BTN3A1",5547
"462","ENSG00000027001","MIPEP",3407
"463","ENSG00000027075","PRKCH",8809
"464","ENSG00000027644","INSRR",5101
"465","ENSG00000027697","IFNGR1",2571
"466","ENSG00000027847","B4GALT7",4927
"467","ENSG00000027869","SH2D2A",2512
"468","ENSG00000028116","VRK2",3509
"469","ENSG00000028137","TNFRSF1B",3766
"470","ENSG00000028203","VEZT",8757
"471","ENSG00000028277","POU2F2",8903
"472","ENSG00000028310","BRD9",9572
"473","ENSG00000028528","SNX1",9780
"474","ENSG00000028839","TBPL1",5039
"475","ENSG00000029153","ARNTL2",6983
"476","ENSG00000029363","BCLAF1",9297
"477","ENSG00000029364","SLC39A9",7136
"478","ENSG00000029534","ANK1",10799
"480","ENSG00000029639","TFB1M",2736
"481","ENSG00000029725","RABEP1",6531
"482","ENSG00000029993","HMGB3",3967
"483","ENSG00000030066","NUP160",8576
"484","ENSG00000030110","BAK1",2212
"486","ENSG00000030419","IKZF2",12240
"487","ENSG00000030582","GRN",3680
"488","ENSG00000031003","FAM13B",6808
"489","ENSG00000031081","ARHGAP31",9384
"490","ENSG00000031691","CENPQ",1733
"491","ENSG00000031698","SARS1",3836
"492","ENSG00000031823","RANBP3",7445
"493","ENSG00000032219","ARID4A",7568
"494","ENSG00000032389","EIPR1",5775
"495","ENSG00000032444","PNPLA6",7055
"496","ENSG00000032742","IFT88",6111
"497","ENSG00000033011","ALG1",4496
"498","ENSG00000033030","ZCCHC8",9124
"499","ENSG00000033050","ABCF2",4448
"500","ENSG00000033100","CHPF2",4205
"501","ENSG00000033122","LRRC7",14652
"502","ENSG00000033170","FUT8",6700
"503","ENSG00000033178","UBA6",11432
"504","ENSG00000033327","GAB2",6771
"505","ENSG00000033627","ATP6V0A1",10955
"506","ENSG00000033800","PIAS1",10776
"507","ENSG00000033867","SLC4A7",9616
"508","ENSG00000034053","APBA2",6869
"509","ENSG00000034152","MAP2K3",3783
"511","ENSG00000034510","TMSB10",496
"512","ENSG00000034533","ASTE1",3427
"513","ENSG00000034677","RNF19A",6049
"514","ENSG00000034693","PEX3",2222
"515","ENSG00000034713","GABARAPL2",3034
"517","ENSG00000035115","SH3YL1",11165
"518","ENSG00000035141","FAM136A",3086
"519","ENSG00000035403","VCL",9992
"520","ENSG00000035499","DEPDC1B",3806
"521","ENSG00000035664","DAPK2",13612
"522","ENSG00000035681","NSMAF",6165
"523","ENSG00000035687","ADSS2",3666
"524","ENSG00000035720","STAP1",1655
"525","ENSG00000035862","TIMP2",5633
"526","ENSG00000035928","RFC1",6713
"527","ENSG00000036054","TBC1D23",5168
"528","ENSG00000036257","CUL3",11505
"529","ENSG00000036448","MYOM2",7062
"531","ENSG00000036530","CYP46A1",9352
"532","ENSG00000036549","ZZZ3",9008
"533","ENSG00000036565","SLC18A1",3910
"534","ENSG00000036672","USP2",4538
"536","ENSG00000037042","TUBG2",2772
"537","ENSG00000037241","RPL26L1",1164
"538","ENSG00000037280","FLT4",8852
"539","ENSG00000037474","NSUN2",5506
"540","ENSG00000037637","FBXO42",8984
"541","ENSG00000037749","MFAP3",4792
"542","ENSG00000037757","MRI1",3456
"543","ENSG00000037897","METTL1",2621
"545","ENSG00000038002","AGA",2675
"546","ENSG00000038210","PI4K2B",3540
"547","ENSG00000038219","BOD1L1",15860
"548","ENSG00000038274","MAT2B",5153
"550","ENSG00000038358","EDC4",6173
"551","ENSG00000038382","TRIO",17500
"552","ENSG00000038427","VCAN",14831
"553","ENSG00000038532","CLEC16A",12387
"554","ENSG00000038945","MSR1",7812
"555","ENSG00000039068","CDH1",6177
"556","ENSG00000039123","MTREX",6578
"558","ENSG00000039319","ZFYVE16",11461
"559","ENSG00000039523","RIPOR1",6729
"561","ENSG00000039560","RAI14",7687
"562","ENSG00000039600","SOX30",3471
"563","ENSG00000039650","PNKP",4025
"564","ENSG00000039987","BEST2",2646
"565","ENSG00000040199","PHLPP2",12493
"566","ENSG00000040275","SPDL1",4777
"567","ENSG00000040341","STAU2",8998
"568","ENSG00000040487","SLC66A1",2686
"569","ENSG00000040531","CTNS",3398
"570","ENSG00000040608","RTN4R",3339
"571","ENSG00000040633","PHF23",2783
"573","ENSG00000040933","INPP4A",13187
"574","ENSG00000041353","RAB27B",7432
"575","ENSG00000041357","PSMA4",6996
"576","ENSG00000041515","MYO16",9209
"577","ENSG00000041802","LSG1",4818
"578","ENSG00000041880","PARP3",2928
"579","ENSG00000041982","TNC",9636
"580","ENSG00000041988","THAP3",4072
"581","ENSG00000042062","RIPOR3",6009
"582","ENSG00000042088","TDP1",6227
"583","ENSG00000042286","AIFM2",5135
"585","ENSG00000042317","SPATA7",6872
"586","ENSG00000042429","MED17",10773
"587","ENSG00000042445","RETSAT",4005
"588","ENSG00000042493","CAPG",2607
"589","ENSG00000042753","AP2S1",1704
"592","ENSG00000042832","TG",11132
"593","ENSG00000042980","ADAM28",9351
"595","ENSG00000043093","DCUN1D1",8412
"596","ENSG00000043143","JADE2",9877
"598","ENSG00000043462","LCP2",7244
"599","ENSG00000043514","TRIT1",2663
"600","ENSG00000043591","ADRB1",2853
"602","ENSG00000044090","CUL7",5628
"603","ENSG00000044115","CTNNA1",8830
"604","ENSG00000044446","PHKA2",9029
"605","ENSG00000044459","CNTLN",11064
"607","ENSG00000044574","HSPA5",3908
"608","ENSG00000046604","DSG2",6190
"609","ENSG00000046647","GEMIN8",2424
"610","ENSG00000046651","OFD1",5172
"611","ENSG00000046653","GPM6B",5675
"614","ENSG00000047056","WDR37",5656
"615","ENSG00000047188","YTHDC2",10816
"616","ENSG00000047230","CTPS2",5510
"617","ENSG00000047249","ATP6V1H",5090
"618","ENSG00000047315","POLR2B",5901
"619","ENSG00000047346","FAM214A",9832
"620","ENSG00000047365","ARAP2",12428
"621","ENSG00000047410","TPR",12350
"622","ENSG00000047457","CP",7296
"623","ENSG00000047578","KATNIP",9784
"624","ENSG00000047579","DTNBP1",3052
"625","ENSG00000047597","XK",5206
"626","ENSG00000047617","ANO2",6255
"627","ENSG00000047621","C12orf4",4939
"628","ENSG00000047634","SCML1",5497
"629","ENSG00000047644","WWC3",7114
"630","ENSG00000047648","ARHGAP6",7885
"631","ENSG00000047662","FAM184B",6622
"632","ENSG00000047849","MAP4",14943
"633","ENSG00000047932","GOPC",4628
"635","ENSG00000048028","USP28",5719
"636","ENSG00000048052","HDAC9",16827
"637","ENSG00000048140","TSPAN17",5215
"638","ENSG00000048162","NOP16",2862
"639","ENSG00000048342","CC2D2A",7606
"640","ENSG00000048392","RRM2B",5548
"641","ENSG00000048405","ZNF800",5793
"642","ENSG00000048462","TNFRSF17",1118
"643","ENSG00000048471","SNX29",11298
"645","ENSG00000048544","MRPS10",2110
"648","ENSG00000048649","RSF1",15740
"649","ENSG00000048707","VPS13D",20023
"650","ENSG00000048740","CELF2",10427
"651","ENSG00000048828","FAM120A",7204
"652","ENSG00000048991","R3HDM1",7898
"653","ENSG00000049089","COL9A2",4151
"654","ENSG00000049130","KITLG",6040
"655","ENSG00000049167","ERCC8",4847
"656","ENSG00000049192","ADAMTS6",8567
"657","ENSG00000049239","H6PD",9321
"658","ENSG00000049245","VAMP3",2760
"659","ENSG00000049246","PER3",8099
"660","ENSG00000049247","UTS2",1791
"661","ENSG00000049249","TNFRSF9",6331
"662","ENSG00000049283","EPN3",4642
"663","ENSG00000049323","LTBP1",7329
"664","ENSG00000049449","RCN1",7225
"665","ENSG00000049540","ELN",6542
"666","ENSG00000049541","RFC2",2211
"667","ENSG00000049618","ARID1B",16869
"668","ENSG00000049656","CLPTM1L",6557
"669","ENSG00000049759","NEDD4L",16120
"670","ENSG00000049768","FOXP3",2647
"671","ENSG00000049769","PPP1R3F",4173
"672","ENSG00000049860","HEXB",5067
"673","ENSG00000049883","PTCD2",12115
"674","ENSG00000050030","NEXMIF",11757
"675","ENSG00000050130","JKAMP",4350
"676","ENSG00000050165","DKK3",5059
"677","ENSG00000050327","ARHGEF5",5818
"678","ENSG00000050344","NFE2L3",4249
"679","ENSG00000050393","MCUR1",6057
"680","ENSG00000050405","LIMA1",6317
"681","ENSG00000050426","LETMD1",6032
"682","ENSG00000050438","SLC4A8",17980
"683","ENSG00000050555","LAMC3",7594
"684","ENSG00000050628","PTGER3",9653
"685","ENSG00000050730","TNIP3",3768
"686","ENSG00000050748","MAPK9",8955
"687","ENSG00000050767","COL23A1",3586
"689","ENSG00000051009","FHIP1B",4736
"690","ENSG00000051108","HERPUD1",5155
"691","ENSG00000051128","HOMER3",3422
"692","ENSG00000051180","RAD51",3046
"693","ENSG00000051341","POLQ",9400
"694","ENSG00000051382","PIK3CB",7850
"695","ENSG00000051523","CYBA",3357
"696","ENSG00000051596","THOC3",3453
"697","ENSG00000051620","HEBP2",10356
"698","ENSG00000051825","MPHOSPH9",10304
"699","ENSG00000052126","PLEKHA5",12558
"700","ENSG00000052344","PRSS8",3010
"701","ENSG00000052723","SIKE1",5894
"702","ENSG00000052749","RRP12",8529
"703","ENSG00000052795","FNIP2",10868
"704","ENSG00000052802","MSMO1",2892
"705","ENSG00000052841","TTC17",11284
"707","ENSG00000053108","FSTL4",6734
"708","ENSG00000053254","FOXN3",11033
"709","ENSG00000053328","METTL24",1774
"710","ENSG00000053371","AKR7A2",1781
"711","ENSG00000053372","MRTO4",2822
"712","ENSG00000053438","NNAT",1297
"713","ENSG00000053501","USE1",2431
"714","ENSG00000053524","MCF2L2",20568
"715","ENSG00000053702","NRIP2",2803
"717","ENSG00000053770","AP5M1",13034
"718","ENSG00000053900","ANAPC4",7494
"719","ENSG00000053918","KCNQ1",3971
"720","ENSG00000054116","TRAPPC3",3527
"721","ENSG00000054118","THRAP3",4736
"722","ENSG00000054148","PHPT1",1612
"723","ENSG00000054179","ENTPD2",2633
"724","ENSG00000054219","LY75",8798
"725","ENSG00000054267","ARID4B",11073
"726","ENSG00000054277","OPN3",3442
"727","ENSG00000054282","SDCCAG8",5322
"728","ENSG00000054356","PTPRN",8261
"729","ENSG00000054392","HHAT",6641
"730","ENSG00000054523","KIF1B",17693
"731","ENSG00000054598","FOXC1",3926
"732","ENSG00000054611","TBC1D22A",5315
"733","ENSG00000054654","SYNE2",31374
"734","ENSG00000054690","PLEKHH1",10817
"735","ENSG00000054793","ATP9A",8317
"739","ENSG00000054965","FAM168A",7887
"740","ENSG00000054967","RELT",6322
"741","ENSG00000054983","GALC",6825
"742","ENSG00000055044","NOP58",3299
"743","ENSG00000055070","SZRD1",4747
"744","ENSG00000055118","KCNH2",5877
"745","ENSG00000055130","CUL1",3548
"746","ENSG00000055147","FAM114A2",6543
"747","ENSG00000055163","CYFIP2",10582
"748","ENSG00000055208","TAB2",5528
"749","ENSG00000055211","GINM1",2248
"750","ENSG00000055332","EIF2AK2",10753
"751","ENSG00000055483","USP36",9235
"752","ENSG00000055609","KMT2C",20114
"753","ENSG00000055732","MCOLN3",6623
"755","ENSG00000055917","PUM2",6978
"756","ENSG00000055950","MRPL43",3573
"757","ENSG00000055955","ITIH4",5462
"758","ENSG00000055957","ITIH1",4544
"759","ENSG00000056050","HPF1",1436
"760","ENSG00000056097","ZFR",6792
"761","ENSG00000056277","ZNF280C",4634
"764","ENSG00000056558","TRAF1",6449
"765","ENSG00000056586","RC3H2",11545
"767","ENSG00000056736","IL17RB",3038
"768","ENSG00000056972","TRAF3IP2",6553
